SN,Branch Name,Connection Type,Service No.,Account No,WAN Address,Default Gateway,LAN Address,Tunnel IP DR-ER11,Tunnel IP DR-ER12,Tunnel IP DC-ER21,Tunnel IP DC-ER22,District
1.0,Adare,Fiber,9990012733,17972543.0,10.138.195.28,,10.112.27.1,10.220.144.11,10.220.148.11,10.220.152.11,10.220.156.11,Hawassa
2.0,Hawassa Addisu Gebeya,Fiber,46100018616,,10.138.204.20,,10.112.221.1,10.220.144.92,10.220.148.92,10.220.152.92,10.220.156.92,Hawassa
3.0,Adola,Fiber,9990019474,33429919.0,10.147.196.20 VLAN 3878,,10.112.83.1,10.220.144.13,10.220.148.13,10.220.152.13,10.220.156.13,Hawassa
4.0,Alamura,Fiber,9990082441,,10.138.200.156,,10.112.196.1,10.220.144.77,10.220.148.77,10.220.152.77,10.220.156.77,Hawassa
5.0,Aletawondo,Fiber,99990000145,17972543.0,10.147.98.84/10.147.193.20,,10.112.1.1,10.220.144.16,10.220.148.16,10.220.152.16,10.220.156.16,Hawassa
6.0,Arbegona,Fiber,9990019470,33429919.0,10.147.194.236 VLAN-3734,,10.112.81.1,10.220.144.18,10.220.148.18,10.220.152.18,10.220.156.18,Hawassa
7.0,Genale Dawa,Fiber,9990034376,33429919.0,10.147.196.204 VLAN-3877,,10.112.98.1,10.220.144.19,10.220.148.19,10.220.152.19,10.220.156.19,Hawassa
8.0,Arebsefer,Fiber,9990015385,32003574.0,10.138.195.188,,10.112.112.1,10.220.144.12,10.220.148.12,10.220.152.12,10.220.156.12,Hawassa
9.0,Aroresa,Fiber,9990026363,33429919.0,10.147.196.148 VLAN- 2183,,10.112.93.1,10.220.144.20,10.220.148.20,10.220.152.20,10.220.156.20,Hawassa
10.0,Atote,Fiber,9990029996,,10.138.196.172,,10.112.188.1,10.220.144.78,10.220.148.78,10.220.152.78,10.220.156.78,Hawassa
11.0,Hawassa Bahiladarash,Fiber,86100256006,,10.138.213.172,,10.113.76.1,10.220.144.132,10.220.148.132,10.220.152.132,10.220.156.132,Hawassa
